verbose,clip,nhid,epochs,seed,lr_patience,show_attention,reverse_src,log_interval,max_length,lr,teacher_force_prob,save,dropout,batch_size,bidirectional,data,lang,emb_size,nlayers,path_emb,use_word_emb,use_attention,cuda,debug,img_conditioning,model,train_word_emb,test_2016, test_2017
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/368/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.98, 3.54
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/366/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.86, 3.47
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/364/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.97, 3.65
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/362/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.95, 3.6
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/373/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.66, 4.16
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/361/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.18, 3.79
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/360/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.08, 3.7
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/358/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.16, 3.69
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/356/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.68, 3.26
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/354/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.71, 3.26
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/352/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.66, 3.19
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/350/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.64, 3.23
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/344/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.81, 3.3
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/367/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.45, 3.98
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/365/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.42, 4.01
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/363/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.43, 4.04
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/343/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.2, 3.73
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/342/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.77, 3.29
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/340/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.74, 3.28
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/339/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.06, 3.51
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/338/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.69, 3.25
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/377/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.47, 4.03
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/375/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.46, 3.92
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/372/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.34, 3.97
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/370/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.49, 4.03
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/355/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.73, 4.14
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/353/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.44, 3.89
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/349/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.31, 3.74
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/348/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.25, 3.8
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/346/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.31, 3.87
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/337/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.02, 3.55
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/332/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.05, 3.51
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/371/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.84, 4.39
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/369/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.81, 4.36
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/357/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.73, 4.26
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/351/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.57, 4.01
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/347/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.59, 4.15
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/345/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.55, 4.11
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/341/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.61, 4.08
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/336/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.51, 4.07
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/331/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I1,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.4, 3.88
